用户ID,性别,百分位,行李质量_kg,场景类型,斜坡角度_deg,摩擦系数,水平加速度_m_s2,拉行系数,操作类型,肩关节角度_deg,肘关节角度_deg,腕关节角度_deg,手部水平作用力_N,手部垂直作用力_N,手部合力_N,腕关节力矩_X_Nm,腕关节力矩_Y_Nm,腕关节力矩_Z_Nm,腕关节力矩_合_Nm,肘关节力矩_X_Nm,肘关节力矩_Y_Nm,肘关节力矩_Z_Nm,肘关节力矩_合_Nm,肩关节力矩_X_Nm,肩关节力矩_Y_Nm,肩关节力矩_Z_Nm,肩关节力矩_合_Nm,MVC百分比,疲劳惩罚值,拇指估算总接触力_N,食指估算总接触力_N,中指估算总接触力_N,无名指估算总接触力_N,小指估算总接触力_N
女_P10,女,P10,20.0,斜坡,8.0,0.03,0.7,1.3,pushing,30.0,100.0,0.0,50.90523868185595,66.17681028641273,83.49079916338438,-0.0,1.3615720853008886,0.0,1.3615720853008886,-0.0,-5.419532428685641,-0.0,5.419532428685641,-0.0,7.23545829802454,-0.0,7.23545829802454,25.30024217072254,0.04973008008728721,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219
女_P10,女,P10,8.0,斜坡,8.0,0.03,0.7,1.3,pulling,40.0,90.0,15.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,1.7407958407844866,0.0,1.7407958407844866,-0.0,-5.808833701151574,-0.0,5.808833701151574,-0.0,5.390935297164002,-0.0,5.390935297164002,10.120096868289014,0.005069577941381904,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
女_P10,女,P10,8.0,粗糙地面,0.0,0.05,1.0,1.5,lifting,60.0,95.0,20.0,15.501199999999999,74.2638,75.86434730411908,-0.0,2.1142519028636637,0.0,2.1142519028636637,-0.0,-7.844299450236398,-0.0,7.844299450236398,-0.0,-0.5393985356643798,-0.0,0.5393985356643798,22.98919615276336,0.039956796283364945,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954
女_P50,女,P50,14.0,机场平面,0.0,0.015,0.8,1.0,pulling,40.0,90.0,15.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,2.260691619107084,0.0,2.260691619107084,-0.0,-7.4503351118428816,-0.0,7.4503351118428816,-0.0,6.776406228183681,-0.0,6.776406228183681,5.682610078310145,0.0007196396832251166,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
女_P50,女,P50,20.0,机场平面,0.0,0.015,0.8,1.0,lifting,60.0,95.0,20.0,18.943,18.943,26.78944751203354,-0.0,2.749457692971522,0.0,2.749457692971522,-0.0,-10.06692210481032,-0.0,10.06692210481032,-0.0,-0.7787880669922852,-0.0,0.7787880669922852,8.11801439758592,0.002619407137389678,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677
女_P50,女,P50,8.0,斜坡,8.0,0.03,0.7,1.3,turning,35.0,85.0,25.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,2.2594255401117422,0.0,2.2594255401117422,-0.0,-6.292738883499387,-0.0,6.292738883499387,-0.0,8.917939065905708,-0.0,8.917939065905708,10.120096868289014,0.005069577941381904,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
女_P50,女,P50,8.0,斜坡,8.0,0.03,0.7,1.3,lifting,45.0,110.0,10.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,2.6649868702273776,0.0,2.6649868702273776,-0.0,-9.980855515377367,-0.0,9.980855515377367,-0.0,3.1505098397154416,-0.0,3.1505098397154416,10.120096868289014,0.005069577941381904,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
女_P50,女,P50,14.0,粗糙地面,0.0,0.05,1.0,1.5,pushing,30.0,100.0,0.0,27.127100000000002,129.96165000000002,132.7626077822084,-0.0,1.7663266851743191,0.0,1.7663266851743191,-0.0,-6.937558212447369,-0.0,6.937558212447369,-0.0,9.11821701510189,-0.0,9.11821701510189,40.23109326733588,0.1386154305881063,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042
女_P90,女,P90,8.0,机场平面,0.0,0.015,0.8,1.0,pushing,30.0,100.0,0.0,7.5772,7.5772,10.715779004813417,-0.0,2.2191664602761185,0.0,2.2191664602761185,-0.0,-8.60811036407077,-0.0,8.60811036407077,-0.0,11.119622150799477,-0.0,11.119622150799477,3.247205759034369,6.1110687299758525e-06,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
女_P90,女,P90,8.0,机场平面,0.0,0.015,0.8,1.0,pulling,40.0,90.0,15.0,7.5772,7.5772,10.715779004813417,-0.0,2.828323409297646,0.0,2.828323409297646,-0.0,-9.217267313092298,-0.0,9.217267313092298,-0.0,8.233387812154177,-0.0,8.233387812154177,3.247205759034369,6.1110687299758525e-06,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
女_P90,女,P90,14.0,斜坡,8.0,0.03,0.7,1.3,lifting,60.0,95.0,20.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,3.4363288641734773,0.0,3.4363288641734773,-0.0,-12.435107589299522,-0.0,12.435107589299522,-0.0,-1.0425340999958643,-0.0,1.0425340999958643,17.710169519505776,0.021638908729259675,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
女_P90,女,P90,14.0,斜坡,8.0,0.03,0.7,1.3,turning,35.0,85.0,25.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,2.824018542065563,0.0,2.824018542065563,-0.0,-7.783493869693268,-0.0,7.783493869693268,-0.0,10.872060550824898,-0.0,10.872060550824898,17.710169519505776,0.021638908729259675,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
女_P90,女,P90,20.0,粗糙地面,0.0,0.05,1.0,1.5,lifting,45.0,110.0,10.0,38.75300000000001,185.6595,189.66086826029772,-0.0,3.3191731490277094,0.0,3.3191731490277094,-0.0,-12.289369620491557,-0.0,12.289369620491557,-0.0,3.788077148033766,-0.0,3.788077148033766,57.472990381908396,0.2967306681147484,60.691477843295274,53.105043112883365,45.51860838247145,20.86269550863275,9.483043413014887
女_P95,女,P95,8.0,机场平面,0.0,0.015,0.8,1.0,lifting,60.0,95.0,20.0,7.5772,7.5772,10.715779004813417,-0.0,3.604660491625303,0.0,3.604660491625303,-0.0,-13.056205975469801,-0.0,13.056205975469801,-0.0,-1.118048076827552,-0.0,1.118048076827552,2.492041629026376,0.0,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
女_P95,女,P95,14.0,机场平面,0.0,0.015,0.8,1.0,turning,35.0,85.0,25.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,2.9629719138476154,0.0,2.9629719138476154,-0.0,-8.174421896619485,-0.0,8.174421896619485,-0.0,11.38155536625762,-0.0,11.38155536625762,4.361072850796158,0.0001852519305174382,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
女_P95,女,P95,14.0,斜坡,8.0,0.03,0.7,1.3,lifting,45.0,110.0,10.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,3.49092491507204,0.0,3.49092491507204,-0.0,-12.93176044298643,-0.0,12.93176044298643,-0.0,3.947877017557945,-0.0,3.947877017557945,13.591525445202105,0.011218041125636364,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
女_P95,女,P95,20.0,斜坡,8.0,0.03,0.7,1.3,pushing,30.0,100.0,0.0,50.90523868185595,66.17681028641273,83.49079916338438,-0.0,2.318906128917685,0.0,2.318906128917685,-0.0,-9.005336797271513,-0.0,9.005336797271513,-0.0,11.661087328547234,-0.0,11.661087328547234,19.416464921717296,0.02695003205259745,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219
女_P95,女,P95,8.0,粗糙地面,0.0,0.05,1.0,1.5,pulling,40.0,90.0,15.0,15.501199999999999,74.2638,75.86434730411908,-0.0,2.958281921431629,0.0,2.958281921431629,-0.0,-9.649710999655829,-0.0,9.649710999655829,-0.0,8.625153321766618,-0.0,8.625153321766618,17.642871466074205,0.02144136847719701,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954
